x,y
110.0,0.0
109.97451000059822,1.7487567549962275
109.89806916258972,3.495899110903686
109.77076492639826,5.239814893032076
109.5927428922127,6.978896372825201
109.36420661934841,8.711542484273956
109.08541734562674,10.436161032348522
108.75669362704679,12.151170890797268
108.37841089810004,13.85500418666814
107.95100095315664,15.546108468913921
107.47495134942729,17.222948858455304
106.95080473208239,18.884010177084257
106.37915808218393,20.5277990526046
105.76066188816053,22.152845997619416
105.09601924163019,23.757707459389156
104.38598485844763,25.340967838200353
103.63136402592497,26.901241471700164
102.83301147724612,28.437174582668742
101.99183019416458,29.94744718771797
101.10877013914447,31.430774964421314
100.18482691817198,32.8859110743966
99.22104037553294,34.31164793987832
98.21849312191873,35.70681897133203
97.17830899728895,37.07030024367653
96.1016514699856,38.40101211869257
94.98972197365885,39.697920811207226
93.84375818363043,40.96003989665219
92.66503223438667,42.18643175760124
91.45484887995946,43.376208966894794
90.21454359902138,44.52853560496246
88.94548064658974,45.64262850895096
87.64905105430512,46.71775845126055
86.32667058132296,47.75325124508324
84.97977761793314,48.74848877452454
83.60983104410101,49.70290994687317
82.2183080452089,50.61601156456352
80.80670188736411,51.48734911435116
79.37651965473626,52.316537471194465
77.92927995148685,53.103251514304404
76.46651057096477,53.84722665279067
74.98974613495872,54.548259258296376
73.5005257059265,55.20620700197657
72.00039037526003,55.82098909313741
70.49088083079519,56.3925864168168
68.97353490694161,56.92104156755275
67.44988512098439,57.406458776556214
65.92145619930373,57.84900372948226
64.38976259746917,58.24890327197997
62.85630601838996,58.60644500020035
61.32257293294878,58.92197673345707
59.79003210780624,59.19590586626852
58.2601321453444,59.42869859707049
56.734299041012974,59.62087903097548
55.21393376365685,59.77302815407798
53.70040986473083,59.885782676967686
52.195071122649864,59.95983374532078
50.699229228875964,59.99592551570053
49.21416152270166,59.9948535950176
47.74110878205195,59.95746334248539
46.28127307798734,59.88464803336076
44.83581570093929,59.77734688429501
43.40585516704546,59.636542940734074
41.99246531325923,59.463260827511334
40.59667349018531,59.2585643645694
39.21945886182108,59.02355405063331
37.861750821558275,58.75936441863595
36.524427533904245,58.467161267766386
35.2083146114066,58.14813877816616
33.914183936194036,57.803516515532195
32.64275263536973,57.434536334186895
31.394682219197236,57.042459188532035
30.170577890591133,56.62856186419435
28.970988033857065,56.19413364158057
27.796403889909556,55.74047290595925
26.64725942432465,55.2688837195506
25.52393139355879,54.78067237240506
24.4267396134832,54.277143930050435
23.355947433051966,53.75959879695634
22.311762414453256,53.229329315766485
21.294337219497727,52.68761642295167
20.303770700298724,52.135726382007604
19.340109190519108,51.57490761553247
18.403347991627015,51.00638765744718
17.493433046749395,50.43137024624491
16.610262792876128,49.8510325794683
15.75369018038306,49.26652274860495
14.923524847149475,48.67895737227185
14.119535432984353,48.0894194439394
13.34145201867947,47.49895640854883
12.588968672814445,46.908578480234745
11.861746088476105,46.31925721101466
11.159414291348561,45.73192431779908
10.481575400199178,45.147470772457005
9.82780642064159,44.566746157000914
9.197662053204008,43.99055828328907
8.590677497166022,43.41967307403742
8.00637123234063,42.85481469944786
7.444247761951295,42.29666596144207
6.903800300965051,41.7458689153897
6.3845133956617275,41.2030257173765
5.885865461814996,40.66869968350245
5.4073312305977055,40.14341654645722
4.948384093165476,39.62766589370429
4.508498336782262,39.121902771024025
4.08715126729555,38.62654943491327
3.6838252147128614,38.14199723741182
3.2980094205484054,37.66860862730154
2.9292018074729285,37.206719252285495
2.5769106335914334,36.756640147674354
2.2406560353793594,36.31865999825785
1.9199714649184099,35.89304746139203
1.614405028583807,35.48005354085676
1.3235207357529326,35.07991400270709
1.0468996674324096,34.69285182612653
0.7841410759558016,34.31907968417247
0.5348634281030655,33.958802451258265
0.2987054051590228,33.6122197362333
0.0753268745916813,33.27952844198867
-0.1355901507771442,32.960925354627065
-0.3343405489753444,32.65660976739282
-0.5211951019526424,32.366786146765286
-0.6963994654812922,32.09166685038889
-0.8601730740911684,31.83147490886168
-1.0127079572050057,31.586446885854592
-1.1541674402380409,31.356835833611978
-1.2846847015730312,31.14291436362757
-1.4043611529115552,30.944977855235866
-1.5132646064114468,30.763347828054055
-1.6114271870982506,30.598375507710454
-1.6988429431038874,30.45044561815604
-1.7754650991202894,30.319980438149653
-1.8412028897898267,30.207444164305706
-1.8959178992563466,30.113347628479403
-1.939419820362719,30.0382534233286
-1.971461531493219,29.98278149672776
-1.9917333701850168,29.947615283417623
-1.99985645957846,29.933508450952345
-1.995374915532551,29.941292346744294
-1.9777467275323062,29.971884243879366
-1.9463330637438219,30.026296495415384
-1.9003856976717302,30.105646720057543
-1.8390321882068434,30.211169156291422
-1.761258363027551,30.34422733694023
-1.6658875529555957,30.506328251124348
-1.5515558962870912,30.6991381747434
-1.416682869919761,30.924500362238696
-1.2594359986058095,31.184454798903165
-1.0776884321686708,31.481260210263226
-0.8689677462907426,31.817418506642422
-0.6303938933681295,32.195701797016184
-0.35860367656820813,32.61918202141693
-0.049658403574454724,33.0912631019958
0.301069555426956,33.61571526333318
0.6990367973883238,34.196710767188236
1.150702588450578,34.838859659839486
1.6637454142415606,35.54724310858363
2.2473343028601747,36.32744030092411
2.9124704564895083,37.18554237185505
3.67241945887924,38.12814290266402
4.543260481470426,39.16228839514558
5.544586813638055,40.2953624928457
6.700401946108222,41.53486256593865
8.04026730786353,42.88800336229765
9.600770779387062,44.36104460425131
11.42739659811621,45.95817954185069
13.57688040170818,47.67972691541479
16.120112198798523,49.51922053685823
19.145570836046076,51.45876213985864
22.76306470598975,53.46166248621435
27.10707195667019,55.46092178825487
32.337947428985395,57.34153729172872
38.63722136792253,58.91423649474211
46.189484702723966,59.87887752095246
55.137470781307584,59.779648660486544
65.49041291841394,57.96591332513476
76.96693970727665,53.59835970273816
88.78548724291538,45.77866292640762
99.50943893321896,33.89418027505403
107.18730634040641,18.155219456908604
110.0,5.878304635907296e-14
110.0,0.0
109.97451000059822,1.7487567549962275
109.89806916258972,3.495899110903686
109.77076492639826,5.239814893032076
109.5927428922127,6.978896372825201
109.36420661934841,8.711542484273956
109.08541734562674,10.436161032348522
108.75669362704679,12.151170890797268
108.37841089810004,13.85500418666814
107.95100095315664,15.546108468913921
107.47495134942729,17.222948858455304
106.95080473208239,18.884010177084257
106.37915808218393,20.5277990526046
105.76066188816053,22.152845997619416
105.09601924163019,23.757707459389156
104.38598485844763,25.340967838200353
103.63136402592497,26.901241471700164
102.83301147724612,28.437174582668742
101.99183019416458,29.94744718771797
101.10877013914447,31.430774964421314
100.18482691817198,32.8859110743966
99.22104037553294,34.31164793987832
98.21849312191873,35.70681897133203
97.17830899728895,37.07030024367653
96.1016514699856,38.40101211869257
